category,brand,price_gbp_sainsburys,price_gbp_tesco,gap_abs,tesco_cheaper,ppu_norm,size_grams,name_sainsburys,name_tesco,display_size
cereals,Kellogg's,2.0,2.0,0.0,0,,330.0,,,75g
cereals,Kellogg's,2.35,2.29,0.06,1,,450.0,,,75g
cereals,Kellogg's,2.85,3.4,0.5499999999999998,0,,460.0,,,75g
cereals,Kellogg's,3.0,3.0,0.0,0,,750.0,,,75g
cereals,Kellogg's,3.75,4.25,0.5,0,,500.0,,,75g
cereals,Nestle,2.0,3.0,1.0,0,,375.0,,,37g
cereals,Nestle,3.0,3.0,0.0,0,,370.0,,,37g
cereals,Nestle,3.5,3.5,0.0,0,,600.0,,,37g
cereals,Nestle,4.0,4.0,0.0,0,,1100.0,,,37g
cooking_oil,Flora,6.25,6.25,0.0,0,,2000.0,,,1l
pasta,Dolmio,2.5,5.0,2.5,0,,250.0,,,675g
pasta,Dolmio,3.0,3.0,0.0,0,,250.0,,,675g
pasta,The,3.25,2.625,0.625,1,,400.0,,,4g
rice,Ben's,1.0,1.0,0.0,0,,220.0,,,22g
rice,Bens,1.0,1.0,0.0,0,,220.0,,,62.5g
tinned_tomatoes,Cirio,3.0,3.0,0.0,0,,400.0,,,4g
tinned_tomatoes,Mutti,1.5,1.5,0.0,0,,400.0,,,4g
tinned_tomatoes,Napolina,1.0,2.5,1.5,0,,400.0,,,4g
